codigo_uf,sigla_uf,codigo_municipio,nome_municipio,pct_alfabetizados,ano
15.0,PA,1507805.0,Senador José Porfírio,33.2,2023
15.0,PA,1507805.0,Senador José Porfírio,35.9,2024
15.0,PA,1507904.0,Soure,62.8,2023
15.0,PA,1507904.0,Soure,52.41,2024
15.0,PA,1507953.0,Tailândia,37.7,2023
15.0,PA,1507953.0,Tailândia,37.9,2024
15.0,PA,1507961.0,Terra Alta,42.0,2023
15.0,PA,1507961.0,Terra Alta,49.88,2024
15.0,PA,1507979.0,Terra Santa,70.7,2023
15.0,PA,1507979.0,Terra Santa,65.58,2024
15.0,PA,1508001.0,Tomé-Açu,48.0,2023
15.0,PA,1508001.0,Tomé-Açu,49.49,2024
15.0,PA,1508050.0,Trairão,70.8,2023
15.0,PA,1508050.0,Trairão,62.190000000000005,2024
15.0,PA,1508084.0,Tucumã,58.8,2023
15.0,PA,1508084.0,Tucumã,48.54,2024
15.0,PA,1508100.0,Tucuruí,37.3,2023
15.0,PA,1508100.0,Tucuruí,44.7,2024
15.0,PA,1508126.0,Ulianópolis,61.8,2023
15.0,PA,1508126.0,Ulianópolis,61.52,2024
15.0,PA,1508159.0,Uruará,65.5,2023
